genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Gemin6,2.3125720982660946e-12,0.8446699290573809,0.279,0.165,4.6434135161084905e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Psma3,2.3157123060103745e-12,0.23824152845929492,0.991,0.979,4.6497187392382315e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Slc4a7,2.4074370643570936e-12,-0.57021501413086,0.548,0.654,4.833892881522608e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Gm15893,2.4082590006105573e-12,1.695968198702582,0.069,0.021,4.835543247325939e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Trp53inp1,2.4089000002826853e-12,-1.3249821964543111,0.109,0.234,4.836830310567603e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Ica1l,2.4304900229402505e-12,-2.1899843189088957,0.029,0.128,4.8801809170617295e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Ptgds,2.4313881221574927e-12,1.4219335115689635,0.113,0.046,4.8819842104800295e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Pigq,2.438115556288856e-12,0.858239627601459,0.255,0.145,4.8954922254723936e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Lrig2,2.4508688442910448e-12,-0.9602130033394758,0.217,0.353,4.9210995524519896e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Rab30,2.4512354841474307e-12,-0.9071430239808292,0.244,0.379,4.921835728619626e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Bdnf,2.4574127694537133e-12,1.813570578267731,0.071,0.022,4.934239099786111e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Cops5,2.556563009888971e-12,0.4455839055063439,0.698,0.565,5.1333228675560657e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Csrp2,2.571279867920871e-12,-0.4983890048822833,0.568,0.699,5.1628728467983173e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Frrs1,2.5883668111876485e-12,1.4296555964846671,0.085,0.029,5.19718172018368e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Snx1,2.651258763817257e-12,0.48792778739087855,0.6,0.463,5.32346247186867e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Fhad1,2.698728170387363e-12,2.691129641766201,0.029,0.005,5.418776293320786e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Dnajb12,2.737053623895312e-12,0.7237542954144383,0.303,0.183,5.4957299714193974e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Ing5,2.7508542251024554e-12,1.0448709617761716,0.175,0.087,5.52344019858322e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Borcs7,2.752045104679048e-12,0.5691588982445155,0.425,0.286,5.52583136568506e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Nmral1,2.7992185358537133e-12,0.42616527392366454,0.516,0.37,5.6205508981406706e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Ufc1,2.8031387652932587e-12,0.414300117380349,0.756,0.66,5.628422326832333e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Gpr180,2.8492323561147607e-12,0.8194835841189665,0.288,0.174,5.7209736478428286e-08,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Rgs13,2.875776679670743e-12,1.907149228082405,0.054,0.014,5.7742719951108854e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Scamp5,2.8886721129367082e-12,-0.7749931794700566,0.296,0.431,5.8001647355656166e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Kpna3,2.8986565523062483e-12,-0.5195011193096506,0.539,0.644,5.820212491375717e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Cdkal1,3.003363233062065e-12,0.4614473977262461,0.65,0.517,6.03045303566532e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Fhod1,3.035785278611198e-12,1.8720454271264897,0.057,0.016,6.095553260923426e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Men1,3.0499298331105487e-12,0.677667381959638,0.404,0.277,6.123954111902671e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Gm37107,3.0750546229296426e-12,-3.839886224701387,0.005,0.088,6.17440217738043e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
